Dept_Code,Dept_Name,Note,M&E_type,BCC_Replacement,Contract_Status,Vendor,Contract_No,Contract_Link,Project_Code,Project_Name,Object_Code,Object_Name,Object_Type,FY2027_Proposed,Fund_code,activity
11141090,Beach Tram,,,,,,,,,,551000,Office Supplies,Operating Expenditures,"15,000.00",111,Economic Environment
11141040,Communications,,,,,,,,,,552000,Operating Supplies,Operating Expenditures,"9,500.00",111,Economic Environment
11141040,Communications,,,,,,,,,,554000,Books Publications Subscriptions or Memberships,Operating Expenditures,"11,400.00",111,Economic Environment
11141010,Beach Operations,F250 Super Cab 4x4.-Replacement,Vehicle,8635,,,,,,,564000,Machinery & Equipment,Capital Outlay,"101,000.00",111,Economic Environment
11141040,Communications,,,,,,,,,,555000,Training,Operating Expenditures,"8,500.00",111,Economic Environment
11141010,Beach Operations,F150 Super Cab 4x4 -Replacement,Vehicle,9043,,,,,,,564000,Machinery & Equipment,Capital Outlay,"74,500.00",111,Economic Environment
11141010,Beach Operations,Truck Wash System,Equipment,,,,,,,,564000,Machinery & Equipment,Capital Outlay,"200,000.00",111,Economic Environment
50350000,Self-Insurance Expenses,,,,,,,,,,531000,Professional Services,Operating Expenditures,0.00,503,General Government
50350000,Self-Insurance Expenses,,,,,,,,,,534000,Other Services,Operating Expenditures,"20,626,947.00",503,General Government
00101130,Tax Collector,,,,,,,,,,549000,Other Current Charges,Operating Expenditures,"802,080.00",001,General Government
10326000,Building Department,F150 - Replacement,Vehicle,,,,,,,,564000,Machinery & Equipment,Capital Outlay,0.00,103,Public Safety
10326000,Building Department,F150 - Replacement,Vehicle,,,,,,,,564000,Machinery & Equipment,Capital Outlay,0.00,103,Public Safety
00101060,Court Technology - Court Administration,,,,,,,,,,564000,Machinery & Equipment,Capital Outlay,0.00,001,Court Related Cost
00117000,Building Construction and Maintenance,Van - Replacement,Vehicle,9036,,,,,,,564000,Machinery & Equipment,Capital Outlay,"45,000.00",001,General Government
00112010,Eagle Springs Golf and Recreation Center,,,,,,,,,,564000,Machinery & Equipment,Capital Outlay,,001,Culture and Recreation
